word,turkish_translation
a,a
a,bir
abandon,bırakmak
abandon,kovmak
abandon,terk etmek
abandoned,terk edilmiş
abnormal,anormal
aborigine,asıl yerli
about,etraf
about,hakkında
about,için
about,yaklaşık
about,etraf
about,hakkında
about,için
about,yaklaşık
above,üstünde
above,üstünde
above,üstünde
absence,yokluk
absence,eksiklik
absolute,mutlak
absolute,pozitif
absolute,mükemmel
absolute,kesin
abstract,soyutlamak
abstract,soyut
abstract,abstre
absurd,absürd
exterior,dış
cloak,kap
complexity,karmaşıklık
complexity,karmaşık
wing,kanatlanmak
wing,kanat
psychiatrist,psikiyatrist
psychiatrist,psikiyatr
psychiatric,psikiyatrik
clinical,klinik
trauma,travma
conform,uymak
compel,zorlamak
conceivable,makul
conceivable,akla uygun
conceivable,düşünülebilir
wary,dikkat etmek
wary,sakınmak
hostess,hostes
exhibitionist,teşhirci
humble,gönülsüz
humble,gönülsüz
effortless,zahmetsiz
purity,arılık
absurd,absürd
abundant,bol
accent,ağız
accent,vurgu
accent,şive
accent,vurgulamak
accent,aksan
accept,kabul etmek
acceptable,uygun
acceptable,kabul edilebilir
acceptable,makbul
acceptance,kabul
access,erişim
access,erişim
accessible,kolay anlaşılan
accessible,ulaşılabilir
accessible,Kolayca anlaşılır
accident,kaza
according to,için
according to,göre
according to,-e göre
account,hesap
account,hesap
accuse,suçlamak
ache,acı
ache,ağrımak
ache,ağrı
ache,acımak
ache,acı
ache,ağrımak
ache,ağrı
ache,acımak
acknowledge,kabul etmek
acquaintance,aşina
action,münasebet
action,eylem
active,aktif
actor,oyuncu
actor,aktör
actress,aktris
actress,oyuncu
actually,aslında
acute,keskin
adapt,adapte
adapt,uygun
adapt,uyum sağlamak
adapt,adapte etmek
adapt,uyarlamak
adapt,uydurmak
adapt,uymak
adapt,adapte olmak
adaptable,uyumlu
address,hitabe
address,hüner
address,beceri
address,hitap
address,kendini hazırlamak
address,sözel başvuru
address,tarz
address,konuşma
address,adres
address,hitabe
address,hüner
address,beceri
address,hitap
address,kendini hazırlamak
address,sözel başvuru
address,tarz
address,konuşma
address,adres
adequate,uygun
adequate,yeterli
adjective,ön ad
adjective,sıfat
admiration,hayranlık
admire,hayran olmak
admit,kabul etmek
adore,tapmak
adult,yetişkin
adult,ergin
adult,olgun
adult,yetişkin
adult,ergin
adult,olgun
advantage,avantaj
advantage,fayda
adventure,seruven
adventure,avantür
adventure,sergüzeşt
adventure,serüven
adventure,macera
adventurous,maceraperest
adventurous,serüvenci
adventurous,maceracı
adverb,belirteç
adverb,zarf
advertisement,reklam
advertisement,duyuru
advertisement,ilan
advice,tavsiye
advice,akıl
affectionate,seven
after,ardında
after,sonrasında
after,yerine
after,sonra
after,sonucunda
after,arkasında
after,ardından
after,peşinde
after,ardında
after,sonrasında
after,yerine
after,sonra
after,sonucunda
after,arkasında
after,ardından
after,peşinde
after,ardında
after,sonrasında
after,yerine
after,sonra
after,sonucunda
after,arkasında
after,ardından
after,peşinde
afternoon,öğleden sonra
afterwards,daha sonra
afterwards,sonraları
afterwards,sonradan
afterwards,sonra
again,bir daha
again,tekrar
again,gene
again,yeniden
again,yine
against,karşı
agency,acentelik
agenda,ajanda
agent,acente
aggressive,saldırgan
ago,önce
agreement,sözleşme
aim,amaç
aim,amaç
air force,hava kuvetleri
aircraft,hava taşıtı
airline,havayolu
airport,havalimanı
airport,havaalanı
alarm clock,çalar saat
album,albüm
alcohol,alkol
alcoholic,alkollü
alcoholic,şarapçı
alcoholic,alkolik
alcoholic,alkollü
alcoholic,şarapçı
alcoholic,alkolik
alcoholism,alkoliklik
alcoholism,alkolizm
alive,diri
alive,sağ
alive,canlı
all,tüm
all,tamamı
all,tamamen
all,bütün
all,hepsi
all,tüm
all,tamamı
all,tamamen
all,bütün
all,hepsi
all,tüm
all,tamamı
all,tamamen
all,bütün
all,hepsi
allegation,sav
almost,neredeyse
alone,tenha
alone,yalnız
alone,tenha
alone,yalnız
alphabet,abece
alphabet,alfabe
alphabetical,alfabetik olarak
alphabetical,abecesel
alphabetical,alfabetik sırayla
alphabetical,alfabetik
also,de
also,da
altar,mihrap
altar,sunak
alternatively,alternativ olarak
alternatively,ya da
although,karşın
although,rağmen
altogether,hep beraber
altogether,topluca
altogether,cümbür cemaat
altogether,hep birlikte
always,her zaman
amaze,şaşırtmak
amazing,şaşırtıcı
ambassador,elçi
ambiguity,Muğlâlık
ambiguous,belirsiz
ambulance,ambulans
amongst,arasında
amusement,eğlence
amusing,eğlenceli
an,bir
an,"please!""-->"
analogy,analoji
ancestor,ata
anchor,çıpa
anchorman,spiker
ancient,tarihsel
ancient,tarihî
ancient,antika
ancient,kadim
ancient,antik
ancient,eski
and,ve
and,ma
and,ile
angel,melek
anger,öfkelendirmek
anger,kızdırmak
anger,öfke
anger,kızgınlık
angle,açı
angle,bakış açısı
angry,sinirli
angry,azgın
angry,kızgın
animal,hayvan
animate,canlı
animate,dinamik
ankle,bilek
anniversary,yıl dönümü
annoying,sinir bozucu
annoying,can sıkıcı
another,farklı
another,bir
another,başka
another,farklı
another,bir
another,başka
answer,cevap
answer,yanıt
answer,cevap
answer,yanıt
ant,karınca
anticipation,sezinleme
antique,antika
antique,antika
anxiety,endişe
anxiety,kaygı
anxious,endişeli
anybody,birisi
anyone,birisi
ape,insansı maymun
apology,özür
apparently,anlaşılan
appear,Görünmek
applaud,takdir etmek
applaud,beğenmek
applaud,el çırpmak
applaud,alkışlamak
applause,alkışlamak
applause,alkış
apple,elma
application,uygulama
appointment,atama
appointment,tayin
appreciate,teşekkür borçlu olmak
appreciate,değerini bilmek
appreciate,müteşekkir olmak
appreciate,değeri artmak
appreciate,takdir etmek
appreciate,anlamak
appreciation,takdir
approach,yaklaşmak
approach,yaklaşmak
approval,izin
approval,onay
approve,onaylamak
April,nisan
architect,mimar
architecture,mimarlık
are,ar
area,alan
area,bölge
arena,arena
argue,tartışmak
argument,savunma
argument,argument
argument,hüccet
argument,münakaşa
argument,değişken
argument,kanıt
argument,ispatlama
argument,tartışma
argument,sav
argument,delil
argument,akıl yürütme
argument,genlik
arise,kalkmak
arm,silah
arm,kol
arm,silah
arm,kol
armchair,koltuk
army,ordu
arrange,düzenlemek
arrangement,aranjman
arrangement,düzenleme
arrest,tevkif etmek
arrest,tutuklama
arrest,tevkif etmek
arrest,tutuklama
arrival,varış
arrogant,küstah
arrogant,kibirli
arrow,ok
art,sanat
article,makale
article,tanımlık
article,madde
artificial,sahte
artificial,yapay
artificial,yapmacık
artist,sanatçı
artistic,sanatsal
as,diye
as,olarak
as,diye
as,olarak
ash,kül
ask,dilemek
ask,sormak
assembly,asamble
assembly,dernek
assembly,cemiyet
assembly,meclis
assembly,içtima
assess,değerlendirme
assessment,takdir
assignment,ödev
assist,asist
assistance,yardım
assistant,asistan
assistant,asistan
association,dernek
association,cemiyet
assumption,varsayım
assure,temin etmek
astronaut,astronot
at,-de
at,-da
athletic,atletik
attack,hücum
attack,saldırı
attack,hücûm
attack,saldırmak
attack,taarruz
attack,hücum
attack,saldırı
attack,hücûm
attack,saldırmak
attack,taarruz
attainable,ulaşılabilir
attention,dikkat
attractive,dilber
attractive,çekici
attractive,alımlı
aubergine,badincan
aubergine,patlıcan
audio,ses
August,ağustos
aunt,hala
aunt,teyze
aunt,çiçe
aunt,yenge
author,yazar
automatic,otomatik
autumn,güz
autumn,sonbahar
auxiliary,yardımcı
auxiliary,yardmcı fiil
available,kullanışlı
available,mevcut
available,var
available,kullanıma hazır
awake,uyanık
awake,uyandırmak
aware,haberdar
awareness,uyanıklık
awareness,bilinç
awareness,farkındalık
awareness,bilinçlenme
awful,berbat
awful,iğrenç
baby,bebek
baby,yavru
babysitter,çocuk
back,art
back,geri
back,arka
back,sırt
back,art
back,geri
back,arka
back,sırt
back,art
back,geri
back,arka
back,sırt
back,art
back,geri
back,arka
back,sırt
bad,cadı
bad,kötü
bag,torba
bag,çanta
bake,fırınlamak
bake,kurutmak
baker,fırıncı
bakery,fırın
balance,terazi
balance,kantar
balance,denge
balance,terazi
balance,kantar
balance,denge
balcony,balkon
balcony,veranda
bald,kabak
bald,kel
ball,taşak
ball,top
ball,haya
ball,yumurta
ball,balo
ballet,bale
balloon,balon
ban,yasak
ban,yasak
banana,muz
band,tayfa
bandage,bandaj
bang,patlama
bang,patlama
bank,banka
bank,banka
banker,bankacı
bankruptcy,iflas
bar,meyhane
bar,sürgülemek
bar,önünü kesmek
bar,bar
bar,yasaklamak
bar,meyhane
bar,sürgülemek
bar,önünü kesmek
bar,bar
bar,yasaklamak
barber,berber
bark,havlamak
bark,hav
bark,havlama
bark,havlamak
bark,hav
bark,havlama
barley,arpa
barn,ahır
barn,ambar
barrel,fıçı
base,üs
base,merkez
base,karargâh
base,kaide
base,baz
base,temel
base,taban
base,karargah
base,üs
base,merkez
base,karargâh
base,kaide
base,baz
base,temel
base,taban
base,karargah
baseball,beyzbol
baseball,beyzbol topu
basement,bodrum
basis,esas
basis,taban
basis,temel
basket,basket
basket,sepet
basketball,basket
basketball,basketbol topu
basketball,basketbol
bat,yarasa
bat,yarasa
bath,küvet
bath,banyo
bathroom,banyo
bathroom,tuvalet
battery,folluk
battery,pil
battle,harp
battle,savaş
battle,cenk
battle,cenk etmek
battle,savaşmak
battlefield,savaş alanı
battlefield,savaş meydanı
bay,koy
bay,doru
be,olmak
be,var
be,bulunmak
be,var olmak
beach,kumsal
beach,kıyı
beach,plaj
beach,sahil
beak,gaga
bean,fasulye
bear,katlanmak
bear,adıg
bear,doğurmak
bear,ayı
bear,katlanmak
bear,adıg
bear,doğurmak
bear,ayı
beard,sakal
beautiful,dilber
beautiful,güzel
beautiful,yörük
beautify,güzelleştirmek
beauty,güzellik
beaver,kastor
beaver,kunduz
because,çünkü
because,için
bed,döşek
bed,yatak
bedroom,yatak odası
bee,arı
bee,be
beer,bira
before,önce
before,önce
before,önce
begin,başlamak
behind,arkada
behind,ardında
behind,arkada
